TeluguWords_Frequency,Frequency,Telugu,English
మీరు 5682,5682,మీరు ,you 
నేను 4727,4727,నేను ,I am 
ఒక 2376,2376,ఒక ,a 
మరియు 1586,1586,మరియు ,And 
ఉంది 1485,1485,ఉంది ,There is 
మేము 1298,1298,మేము ,We are 
ఈ 1286,1286,ఈ ,This 
లేదు 1207,1207,లేదు ,No 
నా 1187,1187,నా ,My 
మీ 1143,1143,మీ ,m 
నాకు 1098,1098,నాకు ,to me 
ఆ 1014,1014,ఆ ,That 
ఇది 970,970,ఇది ,This is 
అతను 954,954,అతను ,He is 
అవును 873,873,అవును ,Yes 
యొక్క 824,824,యొక్క ,of 
ఇక్కడ 732,732,ఇక్కడ ,Here 
అన్ని 680,680,అన్ని ,All 
కాదు 675,675,కాదు ,No 
అది 624,624,అది ,That's it 
ఏమి 614,614,ఏమి ,what 
కానీ 567,567,కానీ ,But 
కోసం 551,551,కోసం ,for 
ఉన్నాయి 529,529,ఉన్నాయి ,There are 
వారు 527,527,వారు ,They are 
లో 522,522,లో ,in 
ఇప్పుడు 502,502,ఇప్పుడు ,Now 
తెలుసు 492,492,తెలుసు ,know 
వచ్చింది 449,449,వచ్చింది ,came 
సంఖ్య 424,424,సంఖ్య ,no 
కుడి 411,411,కుడి ,right 
కలిగి 398,398,కలిగి ,have 
గొన్న 397,397,గొన్న ,gonna 
ఉంటుంది 392,392,ఉంటుంది ,will be 
మంచి 368,368,మంచి ,good 
హే 357,357,హే ,hey 
న 348,348,న ,On 
ఏమిటి 347,347,ఏమిటి ,what 
చూడండి 331,331,చూడండి ,See 
ఎలా 327,327,ఎలా ,how 
నుండి 326,326,నుండి ,from 
తిరిగి 326,326,తిరిగి ,back 
ఉంటాయి 324,324,ఉంటాయి ,are 
కేవలం 321,321,కేవలం ,Just 
సరే 321,321,సరే ,ok 
ఓహ్ 320,320,ఓహ్ ,oh 
ఎందుకు 316,316,ఎందుకు ,why 
వద్ద 312,312,వద్ద ,at 
అక్కడ 306,306,అక్కడ ,there 
అని 292,292,అని ,that 
కొన్ని 281,281,కొన్ని ,Some 
బాగా 276,276,బాగా ,well 
am 272,272,am ,a.m 
వెళ్ళి 270,270,వెళ్ళి ,go 
మా 268,268,మా ,Our 
